Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker,Daily_Return_%,Price_Range
2025-06-26,200.82,202.03,198.85,200.39,50799100,0.0,0.0,AAPL,-0.21,3.18
2025-06-27,201.28,202.6,199.39,200.47,73188600,0.0,0.0,AAPL,-0.4,3.21
2025-06-30,201.4,206.76,198.66,204.55,91912800,0.0,0.0,AAPL,1.56,8.1
2025-07-01,206.04,209.55,205.51,207.19,78788900,0.0,0.0,AAPL,0.56,4.04
2025-07-02,208.28,212.69,207.51,211.8,67941800,0.0,0.0,AAPL,1.69,5.18
2025-07-03,211.51,214.0,211.17,212.9,34955800,0.0,0.0,AAPL,0.66,2.83
2025-07-07,212.03,215.57,208.17,209.31,50229000,0.0,0.0,AAPL,-1.28,7.4
2025-07-08,209.46,210.79,207.82,209.37,42848900,0.0,0.0,AAPL,-0.04,2.97
2025-07-09,208.89,210.69,206.59,210.5,48749400,0.0,0.0,AAPL,0.77,4.1
2025-07-10,209.87,212.83,209.39,211.77,44443600,0.0,0.0,AAPL,0.91,3.44
2025-07-11,209.93,211.49,209.22,210.52,39765800,0.0,0.0,AAPL,0.28,2.27
2025-07-14,209.29,210.27,206.91,207.99,38840100,0.0,0.0,AAPL,-0.62,3.36
2025-07-15,208.59,211.25,208.29,208.48,42296300,0.0,0.0,AAPL,-0.05,2.96
2025-07-16,209.66,211.76,208.01,209.52,47490500,0.0,0.0,AAPL,-0.07,3.75
2025-07-17,209.93,211.16,208.95,209.38,48068100,0.0,0.0,AAPL,-0.26,2.21
2025-07-18,210.23,211.15,209.06,210.54,48974600,0.0,0.0,AAPL,0.15,2.09
2025-07-21,211.46,215.13,210.99,211.84,51377400,0.0,0.0,AAPL,0.18,4.14
2025-07-22,212.49,214.3,211.59,213.75,46404100,0.0,0.0,AAPL,0.59,2.71
2025-07-23,214.35,214.5,211.77,213.5,46989300,0.0,0.0,AAPL,-0.4,2.73
2025-07-24,213.25,215.04,212.88,213.11,46022600,0.0,0.0,AAPL,-0.07,2.16
2025-07-25,214.05,214.59,212.75,213.23,40268800,0.0,0.0,AAPL,-0.38,1.84
2025-07-28,213.38,214.2,212.41,213.4,37858000,0.0,0.0,AAPL,0.01,1.79
2025-07-29,213.53,214.16,210.18,210.63,51411700,0.0,0.0,AAPL,-1.36,3.98
2025-07-30,211.26,211.75,207.09,208.42,45512500,0.0,0.0,AAPL,-1.34,4.66
2025-07-31,207.86,209.2,206.53,206.94,80698400,0.0,0.0,AAPL,-0.44,2.67
2025-08-01,210.23,212.93,200.89,201.77,104434500,0.0,0.0,AAPL,-4.02,12.04
2025-08-04,203.89,207.25,201.07,202.73,75109300,0.0,0.0,AAPL,-0.57,6.18
2025-08-05,202.78,204.72,201.55,202.3,44155100,0.0,0.0,AAPL,-0.24,3.17
2025-08-06,205.01,214.73,204.97,212.6,108483100,0.0,0.0,AAPL,3.7,9.76
2025-08-07,218.22,220.18,215.92,219.36,90224800,0.0,0.0,AAPL,0.52,4.26
2025-08-08,220.16,230.3,218.58,228.65,113854000,0.0,0.0,AAPL,3.86,11.72
2025-08-11,227.49,229.12,224.33,226.75,61806100,0.26,0.0,AAPL,-0.33,4.79
2025-08-12,227.58,230.36,226.64,229.21,55626200,0.0,0.0,AAPL,0.72,3.72
2025-08-13,230.63,234.55,229.99,232.89,69878500,0.0,0.0,AAPL,0.98,4.56
2025-08-14,233.61,234.67,230.41,232.34,51916300,0.0,0.0,AAPL,-0.54,4.26
2025-08-15,233.55,233.83,228.9,231.15,56038700,0.0,0.0,AAPL,-1.03,4.93
2025-08-18,231.26,232.68,229.67,230.45,37476200,0.0,0.0,AAPL,-0.35,3.01
2025-08-19,230.84,232.43,228.91,230.12,39402600,0.0,0.0,AAPL,-0.31,3.52
2025-08-20,229.54,230.03,225.34,225.58,42263900,0.0,0.0,AAPL,-1.73,4.69
2025-08-21,225.84,226.09,223.35,224.47,30621200,0.0,0.0,AAPL,-0.61,2.74
2025-08-22,225.74,228.65,224.98,227.33,42477800,0.0,0.0,AAPL,0.7,3.67
2025-08-25,226.05,228.86,225.8,226.73,30983100,0.0,0.0,AAPL,0.3,3.06
2025-08-26,226.44,229.05,224.26,228.87,54575100,0.0,0.0,AAPL,1.07,4.79
2025-08-27,228.18,230.46,227.83,230.05,31259500,0.0,0.0,AAPL,0.82,2.63
2025-08-28,230.38,232.97,228.9,232.12,38074700,0.0,0.0,AAPL,0.76,4.07
2025-08-29,232.07,232.94,230.93,231.7,39418400,0.0,0.0,AAPL,-0.16,2.01
2025-09-02,228.81,230.41,226.54,229.28,44075600,0.0,0.0,AAPL,0.21,3.87
2025-09-03,236.76,238.4,233.91,238.02,66427800,0.0,0.0,AAPL,0.53,4.49
2025-09-04,238.0,239.44,236.29,239.32,47549400,0.0,0.0,AAPL,0.55,3.15
2025-09-05,239.54,240.86,238.04,239.23,54870400,0.0,0.0,AAPL,-0.13,2.82
2025-09-08,238.84,239.69,235.89,237.43,48999500,0.0,0.0,AAPL,-0.59,3.8
2025-09-09,236.55,238.33,232.92,233.9,66313900,0.0,0.0,AAPL,-1.12,5.41
2025-09-10,231.75,231.98,225.52,226.36,83440800,0.0,0.0,AAPL,-2.33,6.46
2025-09-11,226.45,230.01,226.22,229.59,50208600,0.0,0.0,AAPL,1.39,3.79
